,Tweets,created_at,geo,coordinates,place,lang,entities
235,"ما بدكم حظر 
ولا اصابات 
ولا بدكم وفيات 
ولا بدكم مطعوم 
ولا تلبسو كمامه 
ولا تلتزمو بتباعد 

شو بدكم طيب؟ والمرض ي… https://t.co/8CSQGWdb1v",2021-04-17 09:54:34,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/8CSQGWdb1v', 'expanded_url': 'https://twitter.com/i/web/status/1383358215446941699', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}"
236,عاجل: الولايات المتحدة تتجاوز حاجز ال ٢٠٠ مليون جرعة مطعوم تُعطى للشعب الامريكي و ذلك بإعطاء ٤ ملايين جرعة أمس ليصل… https://t.co/eEE9C4o6eF,2021-04-17 02:13:06,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/eEE9C4o6eF', 'expanded_url': 'https://twitter.com/i/web/status/1383242082521731073', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}"
237,دعاية زين عن مطعوم كورونا كتير حلوه.,2021-04-16 21:27:36,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}"
238,إجابات على  بعض الاستفسارات التي تشغل المجتمع  على صفحات التواصل الاجتماعي، وحرصًا منا على توضيحها قمنا بإعداد منشو… https://t.co/w1vepNoBEu,2021-04-16 17:56:07,,,"Place(_api=<tweepy.api.API object at 0x000001C40B3D9460>, id='01490cd33ff0f963', url='https://api.twitter.com/1.1/geo/id/01490cd33ff0f963.json', place_type='admin', name='Amman', full_name='Amman, Hashemite Kingdom of Jordan', country_code='JO', country='Hashemite Kingdom of Jordan', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x000001C40B3D9460>, type='Polygon', coordinates=[[[35.6797295, 31.2567877], [37.2500185, 31.2567877], [37.2500185, 32.088612], [35.6797295, 32.088612]]]), attributes={})",ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/w1vepNoBEu', 'expanded_url': 'https://twitter.com/i/web/status/1383117011497201666', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}"
239,أكثر من ٨٠٠٠ روح عزيزة على أم وأب وعائلة... كل هؤلاء من أهل وبنات وأبناء وأجداد وجدّات وأصدقاء، خسرناهم بسبب مرض في… https://t.co/Y0VCX41qJB,2021-04-16 17:49:11,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/Y0VCX41qJB', 'expanded_url': 'https://twitter.com/i/web/status/1383115266784116738', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}"
240,@Hananqabartai هيك شكله او اكتر من مطعوم واحد,2021-04-16 09:56:57,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Hananqabartai', 'name': 'Hanan Qabartai', 'id': 746931761305759744, 'id_str': '746931761305759744', 'indices': [0, 14]}], 'urls': []}"
241,@samikhatib2 يعني (مطعوم سنوي) 😉,2021-04-16 09:49:38,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'samikhatib2', 'name': 'sami khatib', 'id': 410140758, 'id_str': '410140758', 'indices': [0, 12]}], 'urls': []}"
242,"تراقب بصمت !!!.
ماذا عن الجرعة الثانية !؟
هل سيتم اعطاءها لمن تلقى الجرعة الاولى!؟
#مطعوم_استرازينيكا… https://t.co/DlXXgxwz8g",2021-04-15 21:18:58,,,,ar,"{'hashtags': [{'text': 'مطعوم_استرازينيكا', 'indices': [83, 101]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/DlXXgxwz8g', 'expanded_url': 'https://twitter.com/i/web/status/1382805672438460420', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [103, 126]}]}"
243,زي مطعوم الانفلونزا، ما بيشتغل بس الناس بتاخده https://t.co/YmAunSucIj,2021-04-15 18:53:53,,,"Place(_api=<tweepy.api.API object at 0x000001C40B3D9460>, id='01490cd33ff0f963', url='https://api.twitter.com/1.1/geo/id/01490cd33ff0f963.json', place_type='admin', name='Amman', full_name='Amman, Hashemite Kingdom of Jordan', country_code='JO', country='Hashemite Kingdom of Jordan', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x000001C40B3D9460>, type='Polygon', coordinates=[[[35.6797295, 31.2567877], [37.2500185, 31.2567877], [37.2500185, 32.088612], [35.6797295, 32.088612]]]), attributes={})",ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/YmAunSucIj', 'expanded_url': 'https://twitter.com/AlMamlakaTV/status/1382767964504612867', 'display_url': 'twitter.com/AlMamlakaTV/st…', 'indices': [47, 70]}]}"
244,"تلقيت الجرعة الأولى من مطعوم كوفيد-19 سينوفارم 
التنظيم ممتاز و التعامل رائع من قبل الكادر الطبي الموجود هناك في جا… https://t.co/n8FqhputN0",2021-04-15 17:44:56,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/n8FqhputN0', 'expanded_url': 'https://twitter.com/i/web/status/1382751809350033411', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}"
245,لو العلماء يشتغلوا من هلأ على مطعوم (Vaccine) ضد الغباء! https://t.co/jw8enPkglk,2021-04-15 07:12:59,,,"Place(_api=<tweepy.api.API object at 0x000001C40B3D9460>, id='01490cd33ff0f963', url='https://api.twitter.com/1.1/geo/id/01490cd33ff0f963.json', place_type='admin', name='Amman', full_name='Amman, Hashemite Kingdom of Jordan', country_code='JO', country='Hashemite Kingdom of Jordan', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x000001C40B3D9460>, type='Polygon', coordinates=[[[35.6797295, 31.2567877], [37.2500185, 31.2567877], [37.2500185, 32.088612], [35.6797295, 32.088612]]]), attributes={})",ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/jw8enPkglk', 'expanded_url': 'https://twitter.com/ValaAfshar/status/1379922594619662336', 'display_url': 'twitter.com/ValaAfshar/sta…', 'indices': [57, 80]}]}"
246,@RnOMaFeMnO انا اليوم اخذتة المطعوم  حاسس بوجع مفاصل وصداع بردان كثير,2021-04-22 23:16:25,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'RnOMaFeMnO', 'name': '𝐑𝐀𝐍𝐄𝐄𝐍 𝐀𝐋-𝐃𝐀𝐁𝐁𝐀𝐒𝐒 📚', 'id': 610982245, 'id_str': '610982245', 'indices': [0, 11]}], 'urls': []}"
247,"646 ألف و700 متلقي لجرعة المطعوم الأولى
https://t.co/obrQWTN8oH
#الأردن_اليوم #الأردن",2021-04-22 20:37:36,,,,ar,"{'hashtags': [{'text': 'الأردن_اليوم', 'indices': [64, 77]}, {'text': 'الأردن', 'indices': [78, 85]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/obrQWTN8oH', 'expanded_url': 'https://alordoon.com/news/archives/1484802', 'display_url': 'alordoon.com/news/archives/…', 'indices': [40, 63]}]}"
248,@MkMheadat طلعلك استرازينيكا حتى لو انك تحت سن ال30 لأنك على الاغلب مسجل ككادر طبي..انا مداوم في مركز مطاعيم وجميع… https://t.co/MZnKqhgaUQ,2021-04-22 20:16:00,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'MkMheadat', 'name': 'Mohammad Mheadat', 'id': 923170332399284224, 'id_str': '923170332399284224', 'indices': [0, 10]}], 'urls': [{'url': 'https://t.co/MZnKqhgaUQ', 'expanded_url': 'https://twitter.com/i/web/status/1385326540897009675', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}"
249,#عاجل | وزير الصحة لـ الوكيل : اعادة جدولة مواعيد لقاح فايزر لا يعني تغيير المطعوم - الوكيل الاخباري… https://t.co/8pLlfJpOzy,2021-04-22 19:02:12,,,,ar,"{'hashtags': [{'text': 'عاجل', 'indices': [0, 5]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/8pLlfJpOzy', 'expanded_url': 'https://twitter.com/i/web/status/1385307970469339145', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [102, 125]}]}"
250,خلال الاشهر الماضيه، كل دول العالم فشلت انها تعطي المطعوم لكل شعوبها... الا محمود عباس بمقطع فيديو +18 بـ 20 ثانيه… https://t.co/v8lbwOpuws,2021-04-22 18:58:01,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/v8lbwOpuws', 'expanded_url': 'https://twitter.com/i/web/status/1385306916264583170', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}"
251,@mostafahmmadeen @msharayri ههههه اخوي العزيز انا قصدي مطعّم انك ماخذ المطعوم 😌,2021-04-22 18:19:14,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'mostafahmmadeen', 'name': 'Mustafa Hammadeen', 'id': 1853295733, 'id_str': '1853295733', 'indices': [0, 16]}, {'screen_name': 'msharayri', 'name': 'Mohammad AlSharayri', 'id': 2294262132, 'id_str': '2294262132', 'indices': [17, 27]}], 'urls': []}"
252,هو ماله المطعوم افهم انه خطر على يلي اعمارهم اقل من ٣٠ ولا شو قصدهم ؟؟ https://t.co/e6mnBBBtxx,2021-04-22 14:52:15,,,"Place(_api=<tweepy.api.API object at 0x000001C40B3D9460>, id='00a521ee3b6eda25', url='https://api.twitter.com/1.1/geo/id/00a521ee3b6eda25.json', place_type='admin', name='Ajlun', full_name='Ajlun, Hashemite Kingdom of Jordan', country_code='JO', country='Hashemite Kingdom of Jordan', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x000001C40B3D9460>, type='Polygon', coordinates=[[[35.5918164, 32.1915746], [35.8917813, 32.1915746], [35.8917813, 32.4391668], [35.5918164, 32.4391668]]]), attributes={})",ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/e6mnBBBtxx', 'expanded_url': 'https://twitter.com/AlMamlakaTV/status/1385187994118893573', 'display_url': 'twitter.com/AlMamlakaTV/st…', 'indices': [71, 94]}]}"
253,للأسف كثير سمعت عن ناس راحت توخد المطعوم لقت انه استرازينيكا لفت ورجعت وما أخدته ،طبعا من ورا القصص والاشاعات الي ا… https://t.co/5QSjax1rDg,2021-04-22 14:39:49,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/5QSjax1rDg', 'expanded_url': 'https://twitter.com/i/web/status/1385241937591128066', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}"
254,@_JawadMZ انت تخيل ما يموت من السرطان ويموت من المطعوم يا الله الضحك 😂😂😂,2021-04-22 13:33:11,,,"Place(_api=<tweepy.api.API object at 0x000001C40B3D9460>, id='002751a62c5f6114', url='https://api.twitter.com/1.1/geo/id/002751a62c5f6114.json', place_type='admin', name='Irbid', full_name='Irbid, Hashemite Kingdom of Jordan', country_code='JO', country='Hashemite Kingdom of Jordan', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x000001C40B3D9460>, type='Polygon', coordinates=[[[35.546435, 32.247619], [36.0871758, 32.247619], [36.0871758, 32.7553607], [35.546435, 32.7553607]]]), attributes={})",ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': '_JawadMZ', 'name': 'Jawad', 'id': 1020785904032632832, 'id_str': '1020785904032632832', 'indices': [0, 9]}], 'urls': []}"
255,لسا امبارح زميلتي اخدت المطعوم، عمرها ٢٧ سنه 😒 https://t.co/V02ahNMdtJ,2021-04-22 11:08:43,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/V02ahNMdtJ', 'expanded_url': 'https://twitter.com/AlMamlakaTV/status/1385187994118893573', 'display_url': 'twitter.com/AlMamlakaTV/st…', 'indices': [47, 70]}]}"
256,"@WalidAlShaer93 عندكم بقطر طعموكم خلص ؟
احنا بالاردن حتى المطعوم صار بالواسطة 😂😂😂😂😂😂😂😂",2021-04-22 00:56:19,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'WalidAlShaer93', 'name': '𓂆 Walid Alshaer △⃒⃘', 'id': 87787078, 'id_str': '87787078', 'indices': [0, 15]}], 'urls': []}"
257,@SanaKH_D شو نوع المطعوم إلي اخذتيه,2021-04-21 19:34:33,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'SanaKH_D', 'name': '\uf8ffسَناءْ', 'id': 1974725814, 'id_str': '1974725814', 'indices': [0, 9]}], 'urls': []}"
258,يا اخوان ليش مش راضيين يعطوني المطعوم مسجل من شهر ١٢,2021-04-21 18:42:32,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}"
259,@m7md_3nezat يا ريت اعرف وين هاد الممرض عشان ما بدي اخذ المطعوم,2021-04-21 17:05:56,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'm7md_3nezat', 'name': 'محمد عنيزات', 'id': 2615589594, 'id_str': '2615589594', 'indices': [0, 12]}], 'urls': []}"
260,"إليكم #إجابات بعض #الاستفسارات التي تشغل المجتمع  على صفحات التواصل الاجتماعي..

هل لديك استفسار لم تتم تغطيته؟ اسأ… https://t.co/f2wrql5xVR",2021-04-21 15:22:32,,,,ar,"{'hashtags': [{'text': 'إجابات', 'indices': [6, 13]}, {'text': 'الاستفسارات', 'indices': [18, 30]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/f2wrql5xVR', 'expanded_url': 'https://twitter.com/i/web/status/1384890300569636865', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}"
261,"@qJDlASOTiMvpmyT لسه تعبان احسن شويه صغيرة
جبت مسكنات قوية لبعد الافطار
المشكلة مستلميتني قحة قوية
مزعتني تمزيع
الم… https://t.co/FEyuD1KbWQ",2021-04-21 14:48:08,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'qJDlASOTiMvpmyT', 'name': ""’ُروح ’ُالحياة ُ'"", 'id': 1315260895057108992, 'id_str': '1315260895057108992', 'indices': [0, 16]}], 'urls': [{'url': 'https://t.co/FEyuD1KbWQ', 'expanded_url': 'https://twitter.com/i/web/status/1384881644943908864', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}"
262,"@Manarmgg @omarwasfihkj المطعوم هد حيلي والقى بي طريح الفراش 🤒
استرازينيكا",2021-04-21 12:58:10,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Manarmgg', 'name': '🅼🅰🅽🅰🆁', 'id': 1143854164960788480, 'id_str': '1143854164960788480', 'indices': [0, 9]}, {'screen_name': 'omarwasfihkj', 'name': 'Omar Momani', 'id': 1376970431723413511, 'id_str': '1376970431723413511', 'indices': [10, 23]}], 'urls': []}"
263,@aliialhasani صديقي عادي تحس بخمول اول فتره ... توكل على الله انا اخذت المطعوم وما في اثار  ايجابيه الحمدلله,2021-04-21 12:45:41,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'aliialhasani', 'name': 'العملاق اللطيف', 'id': 328478019, 'id_str': '328478019', 'indices': [0, 13]}], 'urls': []}"
264,"RT @asha_eyad: اخذت الجرعة الاولى #فايزر قبل شوي

اذا قلبت وصرت احكي شروي غروي بكون مفعول المطعوم 💉

🤦‍♂️",2021-04-21 11:32:17,,,,ar,"{'hashtags': [{'text': 'فايزر', 'indices': [34, 40]}], 'symbols': [], 'user_mentions': [{'screen_name': 'asha_eyad', 'name': '🇵🇸 Eyad Asha 🇯🇴', 'id': 1265918850031288320, 'id_str': '1265918850031288320', 'indices': [3, 13]}], 'urls': []}"
265,"اخذت الجرعة الاولى #فايزر قبل شوي

اذا قلبت وصرت احكي شروي غروي بكون مفعول المطعوم 💉

🤦‍♂️",2021-04-21 11:32:02,,,,ar,"{'hashtags': [{'text': 'فايزر', 'indices': [19, 25]}], 'symbols': [], 'user_mentions': [], 'urls': []}"
266,انا متخلف وبديش اوخذ المطعوم وبس,2021-04-21 10:45:05,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}"
267,@mohgovjo الموظف اللي بجامعة الزيتونة على الباب بحكي للناس روحوا لانه المطعوم اليوم استرازينيكا وعليه مشاكل ؟!!!!!!! ، لازم يتبهدل,2021-04-21 10:16:02,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'mohgovjo', 'name': 'وزارة الصحة الأردنية', 'id': 745581936421257216, 'id_str': '745581936421257216', 'indices': [0, 9]}], 'urls': []}"
268,@HILDAAJELAT1 المطعوم,2021-04-21 09:53:40,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'HILDAAJELAT1', 'name': 'Hilda Shafiq Ajeilat', 'id': 1254401304, 'id_str': '1254401304', 'indices': [0, 13]}], 'urls': []}"
269,@HILDAAJELAT1 انا كمان شكيت انه الممرضة نفس الشيء ما اعطاني المطعوم لان  لم يحدث أي تغيير في ذراعي مثل الجرعة الأول… https://t.co/I0DHsn4Nle,2021-04-21 09:49:57,,,,ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'HILDAAJELAT1', 'name': 'Hilda Shafiq Ajeilat', 'id': 1254401304, 'id_str': '1254401304', 'indices': [0, 13]}], 'urls': [{'url': 'https://t.co/I0DHsn4Nle', 'expanded_url': 'https://twitter.com/i/web/status/1384806604420304896', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}"
270,"بشار - ٢٠ سنة، يساعد زوار مركز ""زي"" الصحي الشامل في السلط بالتسجيل على المنصة لأخذ مطعوم فيروس كورونا. بشار واحد من… https://t.co/Vkv43cd2xe",2021-04-21 01:34:54,,,"Place(_api=<tweepy.api.API object at 0x000001C40B3D9460>, id='01490cd33ff0f963', url='https://api.twitter.com/1.1/geo/id/01490cd33ff0f963.json', place_type='admin', name='Amman', full_name='Amman, Hashemite Kingdom of Jordan', country_code='JO', country='Hashemite Kingdom of Jordan', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x000001C40B3D9460>, type='Polygon', coordinates=[[[35.6797295, 31.2567877], [37.2500185, 31.2567877], [37.2500185, 32.088612], [35.6797295, 32.088612]]]), attributes={})",ar,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/Vkv43cd2xe', 'expanded_url': 'https://twitter.com/i/web/status/1384682021931393027', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}"
